ID;Jugador;MJ;PJ;PJ;PC;PC;PT;PT;PS;PS;TA;TR;SA;G;PR;GPP;GE
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;230;8;33.33;0;0.00;3;12.50;3;12.50;0;0;0;1;0;0;6
stanko-juric;Stanko Juric;1355;21;84.00;7;33.33;14;56.00;7;28.00;5;1;1;0;0;0;34
stefan-bajcetic;Stefan Bajcetic;275;4;16.00;0;0.00;3;12.00;3;12.00;0;0;0;1;0;0;7
stipe-biuk;Stipe Biuk;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
stoichkov;Juan Diego Molina Martinez;695;16;64.00;1;6.25;6;24.00;5;20.00;1;0;0;0;0;0;13
dimitrievski;Stole Dimitrievski;360;4;16.00;4;100.00;4;16.00;0;0.00;1;0;0;0;0;0;6
suso;Jesus Joaquin Fernandez Saenz de la Torre;173;8;33.33;-1;-12.50;0;0.00;1;4.17;1;0;0;0;0;0;2
sebastien-haller;Sebastien Haller;405;8;32.00;1;12.50;5;20.00;4;16.00;0;0;0;0;0;0;9
tadeo-allende;Tadeo Allende;1;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
tajon-buchanan;Tajon Buchanan;49;3;12.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;2
take;Takefusa Kubo;1553;24;96.00;6;25.00;17;68.00;11;44.00;5;0;0;5;0;0;12
takuma-asano;Takuma Asano;556;13;54.17;0;0.00;6;25.00;6;25.00;0;0;0;0;0;0;7
tamas-nikitscher;Tamas Nikitscher;221;4;16.00;2;50.00;2;8.00;0;0.00;1;0;0;0;0;0;9
nianzou-kouassi;Tanguy Nianzou;519;6;25.00;5;83.33;6;25.00;1;4.17;1;1;1;0;0;1;5
tasos-douvikas;Tasos Douvikas;692;20;80.00;0;0.00;6;24.00;6;24.00;2;0;0;3;0;0;13
thiago-ojeda;Thiago Ojeda;7;1;4.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
courtois;Thibaut Courtois;1980;22;88.00;22;100.00;22;88.00;0;0.00;0;0;0;0;0;1;19
thierno-barry-1;Thierno Barry;1554;24;96.00;10;41.67;17;68.00;7;28.00;3;0;0;8;1;0;23
thierry-r;Thierry Rendall Correia;771;11;44.00;4;36.36;9;36.00;5;20.00;1;0;0;0;0;0;13
lemar;Thomas Lemar;6;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
tomas-conechny;Tomas Conechny;704;14;56.00;1;7.14;9;36.00;8;32.00;4;0;0;1;0;0;15
toni-fernandez;Toni Fernandez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
lato;Antonio Latorre Grueso;267;6;25.00;2;33.33;3;12.50;1;4.17;0;1;0;0;0;0;2
t-martinez;Toni Martinez;752;20;80.00;2;10.00;7;28.00;5;20.00;0;0;0;3;0;0;15
toni-villa;Laureano Antonio Villa Suarez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sadiq;Umar Sadiq;409;12;48.00;0;0.00;3;12.00;3;12.00;3;0;0;1;0;0;5
unai-egiluz;Unai Egiluz;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
unai-garcia;Unai Garcia;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
unai-gomez;Unai Gomez;667;20;80.00;0;0.00;6;24.00;6;24.00;1;0;0;1;0;0;9
unai-lopez;Unai Lopez;1128;20;80.00;3;15.00;16;64.00;13;52.00;7;1;0;3;0;0;11
marrero;Unai Marrero;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
nunez-2;Unai Nunez;270;3;12.00;3;100.00;3;12.00;0;0.00;1;0;0;0;0;0;2
unai-simon;Unai Simon;720;8;32.00;8;100.00;8;32.00;0;0.00;0;0;0;0;0;0;7
gonzalez-de-zarate;Urko Gonzalez;291;5;20.00;1;20.00;4;16.00;3;12.00;2;0;0;0;0;0;0
valentin-rosier;Valentin Rosier;1719;22;88.00;18;81.82;18;72.00;0;0.00;6;0;0;0;0;0;29
valentin-barco;Valentin Barco;285;7;29.17;1;14.29;3;12.50;2;8.33;0;0;0;0;0;0;4
valentin-pezzolesi;Valentin Pezzolesi;5;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
valery;Valery Fernandez;224;12;50.00;0;0.00;1;4.17;1;4.17;1;0;0;2;0;0;4
vedat-muriqi;Vedat Muriqi;1372;19;79.17;9;47.37;15;62.50;6;25.00;1;2;0;6;1;0;21
vicent-abril;Vicent Abril;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
guaita;Vicente Guaita;1890;21;84.00;21;100.00;21;84.00;0;0.00;0;0;0;0;0;0;29
viktor-tsygankov;Viktor Tsyhankov;914;14;56.00;4;28.57;11;44.00;7;28.00;1;0;0;1;0;0;17
vini-jr;Vinicius Jose Paixao de Oliveira Junior;1539;19;76.00;9;47.37;17;68.00;8;32.00;5;1;0;9;2;0;14
viti;Viti Rozada;1101;18;72.00;5;27.78;12;48.00;7;28.00;4;0;0;0;0;0;22
vitor-roque;Vitor Hugo Roque Ferreira;1237;22;88.00;3;13.64;14;56.00;11;44.00;4;0;0;4;2;0;23
vladyslav-krapyvtsov;Vladyslav Krapyvtsov;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
v-meseguer;Victor Meseguer;410;14;56.00;1;7.14;2;8.00;1;4.00;1;0;0;0;0;0;8
victor-munoz;Victor Munoz Villanueva;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
victor-puig;Victor Puig;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
walid-cheddira;Walid Cheddira;587;17;68.00;0;0.00;5;20.00;5;20.00;2;0;0;1;1;0;7
warren-madrigal;Warren Madrigal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
william-2;William Silva de Carvalho;250;4;16.00;1;25.00;4;16.00;3;12.00;0;0;0;0;0;0;1
williot-swedberg;Williot Swedberg;1036;23;92.00;0;0.00;11;44.00;11;44.00;1;0;0;3;0;0;15
willy-kambwala;Willy Kambwala;583;8;32.00;6;75.00;7;28.00;1;4.00;0;1;0;0;0;0;5
wojciech-szczesny;Wojciech Szczesny;450;5;20.00;5;100.00;5;20.00;0;0.00;0;0;0;0;0;0;2
xavier-pleguezuelo;Xavier Pleguezuelo;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
herrera-1;Yangel Herrera;1242;17;68.00;10;58.82;15;60.00;5;20.00;7;1;0;3;1;0;17
yarek-gasiorowski;Yarek Gasiorowski;940;14;56.00;5;35.71;9;36.00;4;16.00;1;0;0;0;0;0;22
jesus-santiago;Jesus Santiago Perez;312;15;60.00;-1;-6.67;4;16.00;5;20.00;4;0;0;0;0;0;2
yeray-2;Yeray Alvarez;1151;14;56.00;12;85.71;13;52.00;1;4.00;3;0;0;0;0;0;9
yeremy;Yeremy Pino;1242;22;88.00;0;0.00;16;64.00;16;64.00;7;0;0;1;1;0;21
yoel-lago;Yoel Lago;135;2;8.00;1;50.00;2;8.00;1;4.00;0;0;0;0;0;0;3
youssef-lekhedim;Youssef Lekhedim;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
youssouf-sabaly;Youssouf Sabaly;1101;15;60.00;8;53.33;13;52.00;5;20.00;1;0;0;0;0;0;18
yuri-b;Yuri Berchiche;1375;21;84.00;13;61.90;14;56.00;1;4.00;3;0;0;0;0;0;14
yvan-neyou;Yvan Neyou;1656;20;80.00;13;65.00;19;76.00;6;24.00;10;0;0;1;0;0;26
yaser-asprilla;Yaser Asprilla;864;16;64.00;3;18.75;9;36.00;6;24.00;2;0;0;2;0;0;14
alex-b;Alex Baena;1914;23;92.00;11;47.83;22;88.00;11;44.00;8;0;0;6;0;0;28
alejandro-gil;Alex Gil;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-munoz;Alex Munoz;1078;15;60.00;7;46.67;13;52.00;6;24.00;1;0;0;3;0;0;23
a-remiro;Alex Remiro;2250;25;100.00;25;100.00;25;100.00;0;0.00;0;0;0;0;0;0;23
a-sola;Alex Sola;1035;19;76.00;0;0.00;13;52.00;13;52.00;4;0;0;0;0;0;10
alex-suarez;Alex Suarez;1826;22;88.00;15;68.18;22;88.00;7;28.00;10;0;0;0;0;1;36
alex-valle;Alex Valle;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-aceves;Alvaro Aceves;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aguado-1;Alvaro Aguado;404;11;44.00;0;0.00;4;16.00;4;16.00;2;0;0;0;0;0;7
alvaro-cortes-1;Alvaro Cortes;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-djalo;Alvaro Djalo;453;13;52.00;0;0.00;4;16.00;4;16.00;0;0;0;1;0;0;5
alvaro-fernandez;Alvaro Fernandez;656;8;33.33;7;87.50;7;29.17;0;0.00;2;0;0;0;0;0;12
alvaro-1;Alvaro Garcia;1496;23;92.00;6;26.09;16;64.00;10;40.00;4;0;0;3;0;0;16
alvaro-killane;Alvaro Killane;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
odriozola;Alvaro Odriozola;41;2;8.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
alvaro-rodriguez-3;Alvaro Rodriguez;542;15;60.00;0;0.00;4;16.00;4;16.00;3;0;0;2;0;0;5
a-tejero;Alvaro Tejero;1132;22;88.00;4;18.18;13;52.00;9;36.00;2;0;0;1;0;0;21
correa;Angel Correa;608;23;92.00;0;0.00;3;12.00;3;12.00;3;0;0;3;0;0;3
angel-f;Angel Fortuno;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
angel-ortiz;Angel Ortiz;345;4;16.00;3;75.00;4;16.00;1;4.00;0;0;0;0;0;0;5
aron-yaakobishvili;Aron Yaakobishvili;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
e-militao;Eder Gabriel Militao;940;12;48.00;9;75.00;11;44.00;2;8.00;2;0;0;1;0;0;9
i-lekue;Inigo Lekue;466;9;36.00;3;33.33;5;20.00;2;8.00;1;0;0;0;0;0;7
r-de-galarreta;Inigo Ruiz de Galarreta;986;17;68.00;0;0.00;12;48.00;12;48.00;4;0;0;0;0;0;9
de-marcos;Oscar De Marcos;1217;20;80.00;9;45.00;13;52.00;4;16.00;0;0;0;0;0;0;9
mingueza;Oscar Mingueza;1721;22;88.00;13;59.09;20;80.00;7;28.00;3;1;0;2;1;0;31
oscar-4;Oscar Rodriguez;867;18;72.00;4;22.22;9;36.00;5;20.00;4;1;0;1;1;0;9
oscar-trejo;Oscar Trejo;266;11;44.00;0;0.00;3;12.00;3;12.00;1;0;0;0;0;0;3
oscar-5;Oscar Valentin;1402;24;96.00;9;37.50;14;56.00;5;20.00;2;0;0;0;0;0;16
orjan-nyland;Ørjan Nyland;1504;17;70.83;16;94.12;17;70.83;1;4.17;1;0;0;0;0;0;22
