ID;Jugador;T;DAP;ASI;RE;RF;G;GDDA;GFDA;GCPI;GCPD;GDP;CG;GBP;GPP
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alejandro-jay;Alejandro Jay;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alex-padilla;Alejandro Padilla;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;1
alejo-veliz;Alejo Véliz;15;5;0;1;3;1;1;0;0.00;0.07;0;0.00;0;0
aleksandar-andreev;Aleksandar Andreev;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
sedlar;Aleksandar Sedlar;1;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
alex-almansa;Alex Almansa;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
berenguer;Alex Berenguer;31;15;6;20;23;5;5;0;0.10;0.03;0;0.03;0;0
alex-kral;Alex Král;7;1;1;23;20;0;0;0;0.00;0.00;0;0.00;0;0
alex-marchal;Alex Marchal;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alexander-sorloth;Alexander Sørloth;28;20;2;13;11;9;9;0;0.14;0.11;0;0.07;0;0
alfonso-1;Alfon González;15;9;1;10;11;1;1;0;0.00;0.07;0;0.00;0;0
a-espino;Alfonso Espino;4;2;0;3;3;0;0;0;0.00;0.00;0;0.00;0;0
a-pedraza;Alfonso Pedraza;1;1;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
nyom;Allan Nyom;6;4;1;3;5;1;1;0;0.00;0.17;0;0.00;0;0
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
amath;Amath Ndiaye;5;1;1;4;7;0;0;0;0.00;0.00;0;0.00;0;0
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
barrenetxea;Ander Barrenetxea;15;5;2;17;28;1;1;0;0.07;0.00;0;0.00;0;0
guevara;Ander Guevara;5;1;1;7;5;0;0;0;0.00;0.00;0;0.00;0;0
ander;Ander Herrera;6;4;0;2;1;0;0;0;0.00;0.00;0;0.00;0;0
gorosabel;Andoni Gorosabel;2;1;1;2;2;0;0;0;0.00;0.00;0;0.00;0;0
andreas-christensen;Andreas Christensen;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
andrei;Andrei Ratiu;13;5;2;47;31;1;0;1;0.00;0.08;0;0.00;0;0
lunin;Andrii Lunin;0;0;1;0;0;0;0;0;0.00;0.00;0;0.00;0;0
andre-almeida-1;Domingos André Ribeiro Almeida;8;4;1;12;11;0;0;0;0.00;0.00;0;0.00;0;0
andre-ferreira;André Filipe Magalhães Ribeiro Ferreira;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
andres-cuenca;Andrés Cuenca;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
andy-pelmard;Andy Pelmard;0;0;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
ansu-fati;Ansu Fati;4;3;0;2;2;0;0;0;0.00;0.00;0;0.00;0;0
antal-yaakobishvili;Antal Yaakobishvili;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
budimir;Ante Budimir;47;22;1;10;15;13;13;0;0.19;0.00;5;0.09;0;0
griezmann;Antoine Griezmann;29;14;5;10;10;8;6;2;0.24;0.03;1;0.00;1;0
antonio-blanco;Antonio Blanco;10;2;1;10;5;0;0;0;0.00;0.00;0;0.00;0;0
antonio-candela;Antonio Candela;0;0;0;3;1;0;0;0;0.00;0.00;0;0.00;0;0
antonio-espigares;Antonio Espigares;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
antonio-gomis;Antonio Gomis;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
a-raillo;Antonio Raíllo;16;5;0;2;1;1;1;0;0.00;0.00;0;0.00;0;0
antonio-rudiger;Antonio Rüdiger;13;3;0;3;2;0;0;0;0.00;0.00;0;0.00;0;0
sivera;Antonio Sivera;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;1
sanchez;Antonio Sánchez;6;1;0;7;3;0;0;0;0.00;0.00;0;0.00;0;0
antoniu-roca;Antoniu Roca;5;4;1;16;6;0;0;0;0.00;0.00;0;0.00;0;0
antony;Antony Matheus dos Santos;8;5;2;3;5;2;2;0;0.25;0.00;0;0.00;0;0
a-tuhami;Anuar Tuhami;6;4;0;4;8;2;2;0;0.00;0.33;0;0.00;0;0
arda-guler;Arda Güler;12;8;3;11;10;1;1;0;0.08;0.00;0;0.00;0;0
aridane-1;Aridane Hernández;2;1;0;0;0;0;0;0;0.00;0.00;0;0.00;0;1
arambarri-1;Aritz Arambarri;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
aritz;Aritz Elustondo;3;0;0;1;2;0;0;0;0.00;0.00;0;0.00;0;0
arkaitz-mariezkurrena;Arkaitz Mariezkurrena;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
arnau-1;Arnau Martínez;12;4;2;14;11;2;2;0;0.00;0.00;0;0.17;0;0
arnau-rafus;Arnau Rafús;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
arnau-sola;Arnau Solà;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
arnaut-danjuma;Arnaut Danjuma;18;11;0;13;27;3;3;0;0.06;0.11;0;0.00;0;0
arsen-zakharyan;Arsen Zakharyan;4;2;0;1;0;1;0;1;0.00;0.25;0;0.00;0;0
arthur;Arthur Henrique Ramos de Oliveira Melo;0;0;0;2;1;0;0;0;0.00;0.00;0;0.00;0;0
arthur-vermeeren;Arthur Vermeeren;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
asier-osambela;Asier Osambela;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
villalibre;Asier Villalibre;6;2;0;0;4;1;1;0;0.17;0.00;1;0.00;0;0
assane-diao;Assane Diao;6;1;2;2;9;1;1;0;0.00;0.17;0;0.00;0;0
augusto-batalla;Augusto Batalla;0;0;0;4;0;0;0;0;0.00;0.00;0;0.00;0;0
aurelien-tchouameni;Aurélien Tchouaméni;12;3;0;6;2;0;0;0;0.00;0.00;0;0.00;0;0
axel-witsel;Axel Witsel;0;0;1;1;0;0;0;0;0.00;0.00;0;0.00;0;0
ayoze-perez;Ayoze Pérez;31;15;0;19;16;11;10;1;0.03;0.23;0;0.10;0;0
b-ramirez;Benito Ramírez;4;1;0;2;5;0;0;0;0.00;0.00;0;0.00;0;0
bertug-yildirim;Bertug Yildirim;14;7;0;6;4;1;1;0;0.00;0.00;0;0.07;0;0
benat-prados;Beñat Prados;9;5;0;4;9;1;1;0;0.00;0.00;0;0.11;0;0
benat-turrientes;Beñat Turrientes;4;1;0;7;6;0;0;0;0.00;0.00;0;0.00;0;0
bojan-miovski;Bojan Miovski;6;4;1;1;2;2;2;0;0.33;0.00;0;0.00;0;0
b-iglesias;Borja Iglesias;20;14;0;8;7;5;5;0;0.10;0.10;0;0.05;0;0
b-mayoral;Borja Mayoral;9;7;0;4;3;4;4;0;0.00;0.44;1;0.00;0;0
borna-barisic;Borna Barisic;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
brahim;Brahim Díaz;11;8;2;16;10;3;3;0;0.27;0.00;0;0.00;0;0
brais-mendez;Brais Méndez;20;9;1;10;22;3;3;0;0.10;0.05;0;0.00;0;0
b-olivan;Brian Oliván;5;1;1;1;3;0;0;0;0.00;0.00;0;0.00;0;0
bryan;Bryan Gil;23;14;3;39;48;3;3;0;0.09;0.00;0;0.04;0;0
bryan-zaragoza;Bryan Zaragoza;20;7;5;37;45;1;1;0;0.00;0.05;0;0.00;0;0
carl-starfelt;Carl Starfelt;3;1;0;0;0;1;1;0;0.00;0.00;0;0.33;0;0
alena;Carles Aleñá;6;2;2;4;1;0;0;0;0.00;0.00;0;0.00;0;0
c-perez;Carles Pérez;17;8;0;17;23;2;2;0;0.12;0.00;0;0.00;0;0
carlos-benavidez;Carlos Benavídez;3;1;1;3;1;1;0;1;0.33;0.00;0;0.00;0;0
c-dominguez;Carlos Domínguez;3;1;0;2;1;0;0;0;0.00;0.00;0;0.00;0;1
carlos-guirao;Carlos Guirao;0;0;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
carlos-lumbreras;Carlos Lumbreras;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
carlos-martin;Carlos Martín;11;7;1;5;13;2;2;0;0.00;0.09;0;0.00;0;0
carlos-romero;Carlos Romero;10;3;1;9;12;2;2;0;0.20;0.00;0;0.00;0;0
carlos-vicente;Carlos Vicente;17;9;3;25;43;3;2;1;0.06;0.12;0;0.00;0;0
catala;José Luis Català Vázquez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
cenk-ozkacar;Cenk Özkacar;1;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
chema-andres;José María Andres Baixauli;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
chidera-ejuke;Chidera Ejuke;12;5;1;36;22;1;1;0;0.00;0.08;0;0.00;0;0
chimy-avila;Chimy Ávila;16;10;0;4;5;2;1;1;0.06;0.06;0;0.00;0;0
chiquinho-1;Francisco Jorge Tavares Oliveira;4;2;0;5;7;0;0;0;0.00;0.00;0;0.00;0;0
christantus-uche;Christantus Uche;29;12;2;29;33;3;3;0;0.00;0.07;0;0.03;0;0
ivan-cantalejo;Iván Cantalejo;4;1;0;0;3;0;0;0;0.00;0.00;0;0.00;0;0
lenglet;Clément Lenglet;4;2;1;1;0;1;1;0;0.25;0.00;0;0.00;0;0
coba-da-costa;Coba da Costa;8;5;1;7;16;1;1;0;0.00;0.00;0;0.13;0;0
conor-gallagher;Conor Gallagher;10;2;1;10;14;2;1;1;0.00;0.20;0;0.00;0;0
copete;José Manuel Arias Copete;4;2;0;2;0;0;0;0;0.00;0.00;0;0.00;0;0
cristhian-mosquera;Cristhian Mosquera;4;2;0;5;3;1;1;0;0.25;0.00;0;0.00;0;0
stuani;Cristhian Stuani;16;9;2;2;2;4;4;0;0.00;0.25;2;0.00;0;0
cucho;Cucho Hernández;3;1;0;3;3;0;0;0;0.00;0.00;0;0.00;0;0
cyle-larin;Cyle Larin;21;11;2;2;12;5;5;0;0.10;0.14;1;0.00;0;0
bakambu;Cédric Bakambu;17;7;2;1;3;1;1;0;0.00;0.00;0;0.06;0;0
cesar-azpilicueta;César Azpilicueta;2;1;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
cesar-gonzalez;César Fernández;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
cesar-tarrega;César Tárrega;9;5;0;5;1;2;2;0;0.00;0.11;0;0.11;0;1
c-de-la-hoz;César de la Hoz;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
daley-blind;Daley Blind;2;2;1;8;4;0;0;0;0.00;0.00;0;0.00;0;0
daley-sinkgraven;Daley Sinkgraven;0;0;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
damian-rodriguez;Damián Rodríguez;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
carvajal;Dani Carvajal;2;1;0;2;3;1;1;0;0.00;0.50;0;0.00;0;0
d-ceballos;Dani Ceballos;4;3;0;7;2;0;0;0;0.00;0.00;0;0.00;0;0
cardenas;Dani Cárdenas;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
dani-gomez-1;Dani Gómez;13;6;0;3;7;2;1;1;0.00;0.15;0;0.00;0;0
dani-olmo;Dani Olmo;21;9;0;20;11;6;5;1;0.10;0.19;0;0.00;0;0
parejo;Dani Parejo;7;4;1;6;1;3;3;0;0.14;0.29;1;0.00;0;0
dani-raba;Dani Raba;12;8;4;25;24;3;3;0;0.25;0.00;3;0.00;0;0
daniel-requena;Dani Requena;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
dani-rodriguez;Dani Rodríguez;16;9;5;12;7;4;4;0;0.06;0.13;0;0.06;0;0
vivian;Dani Vivian;12;4;0;9;4;3;3;0;0.00;0.25;0;0.00;0;0
daniel-luna;Daniel Luna;0;0;0;1;1;0;0;0;0.00;0.00;0;0.00;0;0
daniel-yanez;Daniel Yáñez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
daouda-doumbia;Daouda Doumbia;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
darko;Darko Brasanac;7;3;2;1;5;1;1;0;0.00;0.14;0;0.00;0;0
d-machis;Darwin Machís;6;1;0;1;5;0;0;0;0.00;0.00;0;0.00;0;0
dario-benavides;Darío Benavides;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-alaba;David Alaba;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-2;David Argüelles;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-jimenez-1;David Jiménez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-lopez;David López;8;3;0;6;2;1;1;0;0.13;0.00;0;0.00;0;0
david-lopez-4;David López;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-otorbi;David Otorbi;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-soria;David Soria;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
david-torres-1;David Torres;1;1;0;1;1;0;0;0;0.00;0.00;0;0.00;0;1
dawda-camara;Dawda Camara;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
denis-suarez;Denis Suárez;6;3;1;7;4;1;1;0;0.00;0.17;0;0.00;0;0
diego-aguado;Diego Aguado;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
diego-conde;Diego Conde;0;0;1;0;0;0;0;0;0.00;0.00;0;0.00;0;0
diego-ferrer;Diego Ferrer;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
diego-garcia-2;Diego García;10;4;0;2;4;1;1;0;0.00;0.10;0;0.00;0;0
diego-hormigo;Diego Hormigo;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
diego-kochen;Diego Kochen;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
llorente-r;Diego Llorente;5;3;0;6;1;1;1;0;0.00;0.00;0;0.20;0;1
diego-lopez-noguerol;Diego López;19;8;4;16;35;3;3;0;0.00;0.11;0;0.05;0;0
diego-mendez;Diego Méndez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
rico;Diego Rico;7;3;2;5;4;0;0;0;0.00;0.00;0;0.00;0;0
foulquier;Dimitri Foulquier;7;2;0;5;14;0;0;0;0.00;0.00;0;0.00;0;0
dimitrios-stamatakis;Dimitrios Stamatakis;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
dinko-horkas;Dinko Horkas;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
djene;Djené Dakonam;5;0;0;6;6;0;0;0;0.00;0.00;0;0.00;0;0
djibril-sow;Djibril Sow;7;4;1;4;8;1;1;0;0.00;0.14;0;0.00;0;0
djordjije-medenica;Djordjije Medenica;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
dodi-lukebakio;Dodi Lukébakio;51;30;1;68;59;10;9;1;0.16;0.04;1;0.00;0;0
domingos-d;Domingos de Sousa Coutinho Meneses Duarte;1;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
dominik-greif;Dominik Greif;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
donny-van-de-beek;Donny van de Beek;7;4;2;6;6;2;1;1;0.14;0.14;0;0.00;0;0
duk;Luís Henriques de Barros Lopes;1;1;0;3;3;0;0;0;0.00;0.00;0;0.00;0;0
dario-essugo;Dário Cassia Luís Essugo;9;3;0;10;3;1;0;1;0.00;0.11;0;0.00;0;0
edu-exposito;Edu Expósito;2;0;0;2;3;0;0;0;0.00;0.00;0;0.00;0;0
eduardo-camavinga;Eduardo Camavinga;2;0;2;5;4;0;0;0;0.00;0.00;0;0.00;0;0
egoitz-arana;Egoitz Arana;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
egoitz-munoz;Egoitz Muñoz;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
elias-romero;Elías Romero;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
endika-bujan;Endika Bujan;0;0;0;1;1;0;0;0;0.00;0.00;0;0.00;0;0
endrick;Endrick Felipe Moreira de Sousa;8;4;0;2;3;1;1;0;0.00;0.13;0;0.00;0;0
eneko-ortiz;Eneko Ortiz;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
franquesa;Enric Franquesa;3;1;0;9;7;1;1;0;0.33;0.00;0;0.00;0;0
enric-garcia;Enric García;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
enzo-barrenechea;Enzo Barrenechea;7;2;1;5;7;1;1;0;0.14;0.00;0;0.00;0;0
boyomo;Enzo Boyomo;7;3;0;7;3;2;2;0;0.00;0.29;0;0.00;0;0
loiodice;Enzo Loiodice;4;2;0;3;4;0;0;0;0.00;0.00;0;0.00;0;0
eray-ervin-cumart;Eray Cömert;6;0;0;3;0;0;0;0;0.00;0.00;0;0.00;0;0
eric-bailly;Eric Bailly;2;0;0;3;0;0;0;0;0.00;0.00;0;0.00;0;0
eric-garcia;Eric García;7;5;1;2;2;1;1;0;0.00;0.00;0;0.14;0;0
etienne-etoo-pineda;Etienne Eto'o Pineda;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
etta-eyong;Karl Edouard Blaise Etta Eyong;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
fabio;Fabio González;2;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
facundo-garces;Facundo Garcés;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
valverde-1;Federico Valverde;25;14;3;12;7;5;0;5;0.00;0.20;0;0.00;1;0
f-mendy;Ferland Mendy;0;0;0;2;3;0;0;0;0.00;0.00;0;0.00;0;0
fermin-lopez;Fermín López;13;7;2;11;14;3;3;0;0.00;0.15;0;0.08;0;0
calero;Fernando Calero;2;1;0;0;0;1;1;0;0.00;0.00;0;0.50;0;0
fernando-lopez;Fernando López;2;1;0;5;5;0;0;0;0.00;0.00;0;0.00;0;0
pacheco-2;Fernando Pacheco;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
ferran;Ferran Torres;19;13;2;9;4;5;5;0;0.05;0.21;0;0.00;0;0
ferran-ruiz;Ferrán Ruiz Martí;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
florian-grillitsch;Florian Grillitsch;1;1;0;3;2;0;0;0;0.00;0.00;0;0.00;0;0
lejeune;Florian Lejeune;26;9;2;3;1;0;0;0;0.00;0.00;0;0.00;0;0
fran-beltran;Fran Beltrán;9;2;0;6;5;2;0;2;0.00;0.22;0;0.00;0;0
fran-garcia-1;Fran García;5;2;1;4;7;0;0;0;0.00;0.00;0;0.00;0;0
francisco-gonzalez;Francisco Javier González Pérez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
francisco-martinez-1;Fran Pérez;4;1;0;5;4;0;0;0;0.00;0.00;0;0.00;0;0
f-vieites;Francisco Barbosa Vieites;1;1;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
franco-cervi;Franco Cervi;0;0;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
f-de-jong;Frenkie de Jong;3;3;1;3;2;2;2;0;0.33;0.33;0;0.00;0;0
fabio-silva;Fábio Daniel Soares Silva;35;19;2;15;20;7;7;0;0.03;0.14;1;0.03;0;0
gabriel-misehouy;Gabriel Misehouy;4;2;0;7;4;1;1;0;0.00;0.25;0;0.00;0;0
garcia-pascual;Álvaro Miguel García Pascual;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
gavi;Pablo Páez Gavira;1;0;1;2;3;0;0;0;0.00;0.00;0;0.00;0;0
gumbau;Gerard Gumbau;7;4;1;2;2;0;0;0;0.00;0.00;0;0.00;0;0
gerard-2;Gerard Martín;0;0;1;0;2;0;0;0;0.00;0.00;0;0.00;0;0
gerard;Gerard Moreno;21;12;1;10;9;3;3;0;0.14;0.00;3;0.00;0;0
german-garcia;Germán García;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
german-valera;Germán Valera;2;2;0;3;3;0;0;0;0.00;0.00;0;0.00;0;0
geronimo-spina;Gerónimo Spina;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
giorgi-mamardashvili;Giorgi Mamardashvili;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
lo-celso;Giovani Lo Celso;25;14;1;14;20;7;4;3;0.28;0.00;2;0.00;1;0
giuliano-simeone;Giuliano Simeone;10;5;4;12;18;1;1;0;0.00;0.10;0;0.00;0;0
gonzalo-garcia-1;Gonzalo García;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
gonzalo-montiel;Gonzalo Montiel;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
guruzeta;Gorka Guruzeta;32;15;2;6;5;6;6;0;0.00;0.13;0;0.06;0;0
gorka-rivera;Gorka Rivera;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
gregoire-swiderski;Grégoire Swiderski;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
guilherme-fernandes;Guilherme Sousa Carvalho Fernandes;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
guille-fernandez;Guille Fernández;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
guillem-trilla;Guillem Trilla;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
guillermo-ruiz;Guillermo Ruiz;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
hamari-traore;Hamari Traoré;0;0;1;2;1;0;0;0;0.00;0.00;0;0.00;0;0
horatiu-moldovan;Horatiu Moldovan;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
hugo-duro;Hugo Duro;28;12;2;7;12;7;7;0;0.18;0.04;0;0.04;0;1
hugo-g;Hugo Guillamón;1;1;0;1;1;0;0;0;0.00;0.00;0;0.00;0;0
hugo-novoa;Hugo Novoa;1;0;0;3;6;0;0;0;0.00;0.00;0;0.00;0;0
hugo-sotelo;Hugo Sotelo;2;0;0;6;6;0;0;0;0.00;0.00;0;0.00;0;0
hugo-alvarez-1;Hugo Álvarez;14;8;2;28;36;4;4;0;0.07;0.21;0;0.00;0;0
hector-bellerin;Héctor Bellerín;1;1;1;6;2;0;0;0;0.00;0.00;0;0.00;0;0
hector-fort;Héctor Fort;1;0;0;2;2;0;0;0;0.00;0.00;0;0.00;0;0
iago-aspas;Iago Aspas;34;19;3;10;8;8;7;1;0.24;0.00;4;0.00;0;0
zubeldia;Igor Zubeldia;7;4;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
iker-almena;Iker Almena;1;0;1;2;1;0;0;0;0.00;0.00;0;0.00;0;0
iker-bachiller;Iker Bachiller;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
iker-benito;Iker Benito;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
iker-cordoba;Iker Córdoba;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
